published_date,count
2025-06-23,1
2025-06-24,1
2025-06-25,1
2025-06-26,0
2025-06-27,0
2025-06-28,0
2025-06-29,0
2025-06-30,3
2025-07-01,0
2025-07-02,1
2025-07-03,0
2025-07-04,0
2025-07-05,0
2025-07-06,0
2025-07-07,1
2025-07-08,1
2025-07-09,2
2025-07-10,0
2025-07-11,0
2025-07-12,0
2025-07-13,0
2025-07-14,1
2025-07-15,6
2025-07-16,3
2025-07-17,3
2025-07-18,0
2025-07-19,0
2025-07-20,0
2025-07-25,0
2025-07-26,0
2025-07-27,0
2025-07-28,1
2025-07-29,0
2025-07-30,0
2025-07-31,1
2025-08-01,1
2025-08-02,0
2025-08-03,0
2025-08-04,1
2025-08-05,1
2025-08-06,2
2025-08-07,0
2025-08-08,0
2025-08-09,0
2025-08-10,0
2025-08-11,1
2025-08-12,0
2025-08-13,1
2025-08-14,0
2025-08-15,2
2025-08-16,0
2025-08-17,0
2025-08-18,1
2025-08-19,1
2025-08-20,0
2025-08-21,0
2025-08-22,0
2025-08-23,0
2025-08-24,0
2025-08-25,1
2025-08-26,1
2025-08-27,0
2025-08-28,1
2025-08-29,0
2025-08-30,0
2025-08-31,0
2025-09-01,2
2025-09-02,0
2025-09-03,0
2025-09-04,0
2025-09-05,0
2025-09-06,0
2025-09-07,0
2025-09-08,1
2025-09-09,0
2025-09-10,0
2025-09-11,1
2025-09-12,1
2025-09-13,0
2025-09-14,0
2025-09-15,2
2025-09-16,0
2025-09-17,0
2025-09-18,2
2025-09-19,0
2025-09-20,0
2025-09-21,0
