published_date,count
2025-06-23,1
2025-06-24,1
2025-06-25,0
2025-06-26,1
2025-06-27,0
2025-06-28,1
2025-06-29,0
2025-06-30,0
2025-07-01,1
2025-07-02,1
2025-07-03,1
2025-07-04,0
2025-07-05,1
2025-07-06,0
2025-07-07,0
2025-07-08,1
2025-07-09,0
2025-07-10,1
2025-07-11,0
2025-07-12,1
2025-07-13,0
2025-07-14,0
2025-07-15,1
2025-07-16,0
2025-07-17,1
2025-07-18,0
2025-07-19,1
2025-07-20,0
2025-07-25,0
2025-07-26,1
2025-07-27,0
2025-07-28,0
2025-07-29,1
2025-07-30,0
2025-07-31,1
2025-08-01,0
2025-08-02,1
2025-08-03,0
