published_date,count
2025-06-23,0
2025-06-24,0
2025-06-25,1
2025-06-26,0
2025-06-27,1
2025-06-28,0
2025-06-29,0
2025-06-30,1
2025-07-01,1
2025-07-02,2
2025-07-03,2
2025-07-04,0
2025-07-05,0
2025-07-06,0
2025-07-07,1
2025-07-08,1
2025-07-09,2
2025-07-10,2
2025-07-11,1
2025-07-12,0
2025-07-13,0
2025-07-14,1
2025-07-15,0
2025-07-16,1
2025-07-17,1
2025-07-18,0
2025-07-19,0
2025-07-20,0
2025-07-25,0
2025-07-26,0
2025-07-27,0
2025-07-28,1
2025-07-29,2
2025-07-30,0
2025-07-31,2
2025-08-01,0
2025-08-02,0
2025-08-03,0
2025-08-04,2
2025-08-05,1
2025-08-06,2
2025-08-07,1
2025-08-08,1
2025-08-09,1
2025-08-10,0
