published_date,count
2025-06-23,0
2025-06-24,1
2025-06-25,2
2025-06-26,0
2025-06-27,1
2025-06-28,0
2025-06-29,0
2025-06-30,1
2025-07-01,1
2025-07-02,0
2025-07-03,0
2025-07-04,1
2025-07-05,0
2025-07-06,0
2025-07-07,1
2025-07-08,2
2025-07-09,0
2025-07-10,3
2025-07-11,1
2025-07-12,0
2025-07-13,0
2025-07-14,2
2025-07-15,0
2025-07-16,1
2025-07-17,0
2025-07-18,1
2025-07-19,0
2025-07-20,0
2025-07-25,1
2025-07-26,0
2025-07-27,0
2025-07-28,0
2025-07-29,2
2025-07-30,0
2025-07-31,2
2025-08-01,1
2025-08-02,0
2025-08-03,0
2025-08-04,1
2025-08-05,1
2025-08-06,0
2025-08-07,1
2025-08-08,1
2025-08-09,0
2025-08-10,0
2025-08-11,1
2025-08-12,1
2025-08-13,0
2025-08-14,0
2025-08-15,1
2025-08-16,0
2025-08-17,0
